year,fao_code,item,category,production_t,prod_loss_pct,prod_loss_t,postharvest_loss_pct,postharvest_loss_t,farmgate_t,farmgate_low,farmgate_high,retail_supply_t,dist_loss_pct,dist_loss_t,retail_loss_pct,retail_loss_t,retail_t,retail_low,retail_high,total_t
2011,394,"Pumpkins, squash and gourds",Vegetables,13672.0,14.2,1941.42,8.7,1020.56,2962.0,2108.9,3784.7,10709.99,2.5,267.75,5.8,605.65,873.4,614.6,1129.4,3835.4
2011,397,Cucumbers and gherkins,Greenhouse Veg,19415.6,14.2,2757.02,8.7,1449.3,4206.3,2994.8,5374.7,18561.62,2.5,464.04,5.8,1049.66,1513.7,1065.2,1957.3,5720.0
2011,399,Eggplants (aubergines),Vegetables,0.0,14.2,0.0,8.7,0.0,0.0,0.0,0.0,2152.05,2.5,53.8,5.8,121.7,175.5,123.5,226.9,175.5
2011,401,Chillies and peppers,Vegetables,31964.4,14.2,4538.94,8.7,2386.02,6925.0,4930.4,8848.5,19762.11,2.5,494.05,5.8,1117.55,1611.6,1134.1,2083.9,8536.5
2011,403,Onions,Vegetables,4755.0,14.2,675.21,8.7,354.94,1030.2,733.4,1316.3,43355.0,2.5,1083.88,5.8,2451.72,3535.6,2488.1,4571.7,4565.7
2011,406,Green garlic,Vegetables,276.0,14.2,39.19,8.7,20.6,59.8,42.6,76.4,2534.64,2.5,63.37,5.8,143.33,206.7,145.4,267.2,266.5
2011,407,Leeks and other alliaceous vegetables,Other Storable,371.0,14.2,52.68,8.7,27.69,80.4,57.2,102.7,1281.42,2.5,32.04,5.8,72.46,104.5,73.5,135.1,184.9
2011,414,Green beans,Other Perishable,4258.0,14.2,604.64,8.7,317.84,922.5,656.8,1178.7,7565.91,2.5,189.15,5.8,427.85,617.0,434.2,797.9,1539.5
2011,417,"Peas, green",Vegetables,1159.0,14.2,164.58,8.7,86.51,251.1,178.8,320.8,5473.94,2.5,136.85,5.8,309.55,446.4,314.2,577.3,697.5
2011,426,Carrots and turnips,Vegetables,11161.0,14.2,1584.86,8.7,833.12,2418.0,1721.5,3089.6,35611.28,2.5,890.28,5.8,2013.82,2904.1,2043.7,3755.3,5322.1
2011,446,Sweet corn,Other Perishable,7511.0,14.2,1066.56,8.7,560.67,1627.2,1158.5,2079.2,15870.02,2.5,396.75,5.8,897.45,1294.2,910.8,1673.5,2921.4
